filename,sample,co2,ppm,Land_Management,Treatment,date,Rep,sample_day,mass_CO2,mass_C,C_rate,C_rate_mg,cum_C,mg_cum_C
141020_45,12ConPTHRep1_unk-0002_10202014_10.qgd,45,10.042558732269503,PTH,12C,2014-10-20,1,0,4.4032859923387664e-6,1.2017238821627113e-6,0,0,1.2017238821627113e-6,0.0012017238821627114
141020_45,13CelPTHRep1_unk-0003_10202014_11.qgd,45,11.704792774822696,PTH,13C,2014-10-20,1,0,5.13211338291645e-6,1.4006319891435919e-6,0,0,1.4006319891435919e-6,0.001400631989143592
141020_45,13XylPTHRep1_unk-0004_10202014_12.qgd,45,13.810289228723406,PTH,13X,2014-10-20,1,0,6.055294744314848e-6,1.6525822579860406e-6,0,0,1.6525822579860406e-6,0.0016525822579860406
141020_45,H2OPTHRep1_unk-0005_10202014_13.qgd,45,9.433072916666667,PTH,H2O,2014-10-20,1,0,4.136049282460282e-6,1.128790909603055e-6,0,0,1.128790909603055e-6,0.001128790909603055
141020_45,12ConPTHRep2_unk-0006_10202014_14.qgd,45,19.46188497340426,PTH,12C,2014-10-20,2,0,8.538227590420512e-6,2.330212487810515e-6,0,0,2.330212487810515e-6,0.002330212487810515
141020_45,13CelPTHRep2_unk-0007_10202014_15.qgd,45,14.419775044326244,PTH,13C,2014-10-20,2,0,6.326176590775911e-6,1.7265100438947847e-6,0,0,1.7265100438947847e-6,0.0017265100438947846
141020_45,13XylPTHRep2_unk-0008_10202014_16.qgd,45,14.696814051418443,PTH,13X,2014-10-20,2,0,6.447717854492649e-6,1.7596805078461984e-6,0,0,1.7596805078461984e-6,0.0017596805078461985
141020_45,H2OPTHRep2_unk-0009_10202014_17.qgd,45,18.686175753546102,PTH,H2O,2014-10-20,2,0,8.19791205201365e-6,2.2373351887465565e-6,0,0,2.2373351887465565e-6,0.0022373351887465566
141020_45,12ConPTHRep3_unk-0010_10202014_18.qgd,45,13.200803413120568,PTH,12C,2014-10-20,3,0,5.781622399320687e-6,1.5778929024821808e-6,0,0,1.5778929024821808e-6,0.0015778929024821808
141020_45,13CelPTHRep3_unk-0011_10202014_19.qgd,45,9.599296320921987,PTH,13C,2014-10-20,3,0,4.204252187529513e-6,1.1474045222544192e-6,0,0,1.1474045222544192e-6,0.0011474045222544193
141020_45,13XylPTHRep3_unk-0012_10202014_20.qgd,45,12.92376440602837,PTH,13X,2014-10-20,3,0,5.660286229182905e-6,1.5447784116954299e-6,0,0,1.5447784116954299e-6,0.0015447784116954298
141020_45,H2OPTHRep3_unk-0013_10202014_21.qgd,45,10.92908355496454,PTH,H2O,2014-10-20,3,0,4.78666580419087e-6,1.3063540780308233e-6,0,0,1.3063540780308233e-6,0.0013063540780308234
141020_45,12ConPTHRep4_unk-0014_10202014_22.qgd,45,5.05585660460993,PTH,12C,2014-10-20,4,0,2.2143389972698795e-6,6.043268733517046e-7,0,0,6.043268733517046e-7,6.043268733517046e-4
141020_45,13CelPTHRep4_unk-0015_10202014_23.qgd,45,13.256211214539007,PTH,13C,2014-10-20,4,0,5.805889633348242e-6,1.5845158006395306e-6,0,0,1.5845158006395306e-6,0.0015845158006395307
141020_45,13XylPTHRep4_unk-0016_10202014_24.qgd,45,10.92908355496454,PTH,13X,2014-10-20,4,0,4.78666580419087e-6,1.3063540780308233e-6,0,0,1.3063540780308233e-6,0.0013063540780308234
141020_45,H2OPTHRep4_unk-0017_10202014_25.qgd,45,12.75754100177305,PTH,H2O,2014-10-20,4,0,5.587484527100236e-6,1.5249097172233795e-6,0,0,1.5249097172233795e-6,0.0015249097172233795
141020_45,12ConNTHRep1_unk-0018_10202014_26.qgd,45,11.483161569148937,NTH,12C,2014-10-20,1,0,5.0280940882354005e-6,1.372243537691329e-6,0,0,1.372243537691329e-6,0.001372243537691329
141020_45,13CelNTHRep1_unk-0019_10202014_27.qgd,45,7.549207668439717,NTH,13C,2014-10-20,1,0,3.305546666740519e-6,9.021340834860344e-7,0,0,9.021340834860344e-7,9.021340834860343e-4
141020_45,13XylNTHRep1_unk-0020_10202014_28.qgd,45,13.200803413120568,NTH,13X,2014-10-20,1,0,5.7801922581838695e-6,1.5775025951612464e-6,0,0,1.5775025951612464e-6,0.0015775025951612464
141020_45,H2ONTHRep1_unk-0021_10202014_29.qgd,45,12.203462987588653,NTH,H2O,2014-10-20,1,0,5.343490094987984e-6,1.4583199166303267e-6,0,0,1.4583199166303267e-6,0.0014583199166303266
141020_45,12ConNTHRep2_unk-0022_10202014_30.qgd,45,16.802310505319152,NTH,12C,2014-10-20,2,0,7.349284242231484e-6,2.0057317208235032e-6,0,0,2.0057317208235032e-6,0.002005731720823503
141020_45,13CelNTHRep2_unk-0023_10202014_31.qgd,45,14.807629654255322,NTH,13C,2014-10-20,2,0,6.476816343107521e-6,1.767621929040319e-6,0,0,1.767621929040319e-6,0.001767621929040319
141020_45,13XylNTHRep2_unk-0024_10202014_32.qgd,45,17.07934951241135,NTH,13X,2014-10-20,2,0,7.4704603393320345e-6,2.038802525237834e-6,0,0,2.038802525237834e-6,0.0020388025252378343
141020_45,H2ONTHRep2_unk-0025_10202014_33.qgd,45,12.535909796099292,NTH,H2O,2014-10-20,2,0,5.483172346883007e-6,1.496441332842804e-6,0,0,1.496441332842804e-6,0.001496441332842804
141020_45,12ConNTHRep3_unk-0026_10202014_34.qgd,45,10.92908355496454,NTH,12C,2014-10-20,3,0,4.7829163795243056e-6,1.305330802873584e-6,0,0,1.305330802873584e-6,0.001305330802873584
141020_45,13CelNTHRep3_unk-0027_10202014_35.qgd,45,12.535909796099292,NTH,13C,2014-10-20,3,0,5.4861149148014765e-6,1.4972444044917187e-6,0,0,1.4972444044917187e-6,0.0014972444044917188
141020_45,13XylNTHRep3_unk-0028_10202014_36.qgd,45,11.039899157801418,NTH,13X,2014-10-20,3,0,4.831412830233076e-6,1.3185662236748345e-6,0,0,1.3185662236748345e-6,0.0013185662236748345
141020_45,H2ONTHRep3_unk-0029_10202014_37.qgd,45,10.430413342198582,NTH,H2O,2014-10-20,3,0,4.564682351334839e-6,1.245771409267956e-6,0,0,1.245771409267956e-6,0.001245771409267956
141020_45,12ConNTHRep4_unk-0030_10202014_38.qgd,45,9.543888519503547,NTH,12C,2014-10-20,4,0,4.171885597272894e-6,1.1385711862950403e-6,0,0,1.1385711862950403e-6,0.0011385711862950403
141020_45,13CelNTHRep4_unk-0031_10202014_39.qgd,45,13.145395611702128,NTH,13C,2014-10-20,4,0,5.746199414509416e-6,1.568225429849411e-6,0,0,1.568225429849411e-6,0.0015682254298494112
141020_45,13XylNTHRep4_unk-0032_10202014_40.qgd,45,12.702133200354611,NTH,13X,2014-10-20,4,0,5.552437713926459e-6,1.5153449075657965e-6,0,0,1.5153449075657965e-6,0.0015153449075657965
141020_45,H2ONTHRep4_unk-0033_10202014_41.qgd,45,13.367026817375887,NTH,H2O,2014-10-20,4,0,5.843080264800894e-6,1.5946656909912187e-6,0,0,1.5946656909912187e-6,0.0015946656909912188
141020,12ConPTHRep1_unk-0002_10202014_10.qgd,TIC,949.1971740526653,PTH,12C,2014-10-20,1,0,4.1618742114432264e-4,1.135838926463181e-4,0,0,1.135838926463181e-4,0.1135838926463181
141020,13CelPTHRep1_unk-0003_10202014_11.qgd,TIC,1061.4001284521516,PTH,13C,2014-10-20,1,0,4.653842155647254e-4,1.2701044792428804e-4,0,0,1.2701044792428804e-4,0.12701044792428803
141020,13XylPTHRep1_unk-0004_10202014_12.qgd,TIC,1116.3776493256262,PTH,13X,2014-10-20,1,0,4.894898000088379e-4,1.3358922944572036e-4,0,0,1.3358922944572036e-4,0.13358922944572035
141020,H2OPTHRep1_unk-0005_10202014_13.qgd,TIC,1146.3712267180474,PTH,H2O,2014-10-20,1,0,5.026408606810349e-4,1.371783544112681e-4,0,0,1.371783544112681e-4,0.1371783544112681
